ID,AUDITYEAR,DBKEY,ELECAUDITSID,PASSTHROUGHNAME,PASSTHROUGHID
6181134,2022,25510,36038213,ALBERT EINSTEIN HEALTHCARE NETWORK,1RO1HD092481-01A1
6181138,2022,25510,36038218,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2P2CHD086844-06
6181143,2022,25510,36038222,PREVENTION EDUCATION SOLUTIONS  MONTGOMERY COUNTY ,4100086643
6181125,2022,25510,36038206,THOMAS JEFFERSON UNIVERSITY,2 RO1 NS079702-06/080-19250-S09103
6181140,2022,25510,36038220,BLOOMSBURG UNIVERSITY,G16429139200
6181145,2022,25510,36038224,PUBLIC HEALTH MANAGEMENT CORPORATION,AGREEMENT NO. 8690062201
6181122,2022,25510,36038203,"UNIVERSITY OF COLORADO, DENVER NATIONAL RESEARCH",1RO1NR016209-01
6181159,2022,25510,36038235,OFFICE OF VIOLENCE AGAINST WOMEN,2018-WA-AX-0030
6181151,2022,25510,36038228,THE PHILADELPHIA REGIONAL NOYCE SCHOLARSHIP: SCHOLARS (PRNP-S) PROGRAM,1758353
6181118,2022,25510,36038198,21ST CENTURY PARTNERSHIP FOR STEM EDUCATION,72026318C0003-010
6673600,2022,26935,36833606,PHILADELPHIA CORPORATION FOR THE AGING,
6356070,2022,54071,36329070,ILLINOIS STATE BOARD OF EDUCATION,2022-4630
6356044,2022,54071,36329041,ILLINOIS DEPARTMENT OF HUMAN SERVICES,4100141826
6356083,2022,54071,36329087,ILLINOIS DEPARTMENT OF HUMAN SERVICES,4100141826
6356084,2022,54071,36329090,ILLINOIS DEPARTMENT OF AGING,AT202122
5809820,2022,120262,35507494,BUTTE COUNTY,X24366
6335549,2022,148665,36297940,BLOOD CENTER OF WISCONSIN,2R01HL068835-13
6335550,2022,148665,36297942,WAYNE STATE UNIVERSITY,
6335551,2022,148665,36297944,MICHIGAN STATE UNIVERSITY,
6335552,2022,148665,36297947,UNIVERSITY OF ILLINOIS,16227
6335553,2022,148665,36297948,UNIVERSITY OF ILLINOIS,
6335554,2022,148665,36297951,TEXAS TECH UNIVERSITY,R01DA049737
